reading_id,plant_id,component_id,sensor_id,sensor_type,timestamp,value,unit_of_measure,state_of_charge_pct,state_of_health_pct,charge_discharge_cycles,power_mw,energy_mwh,voltage_v,current_a,temperature_c,quality_flag,alarm_status,ingestion_datetime
BR-0000000017,PLT-0007,BAT-MOD-031,SENS-3490,voltage,2024-12-09T09:17:43,696.171007,V,71.38,89.87,2311,0.309,27.720,651.146,474.494,44.99,GOOD,NORMAL,2025-12-09T14:25:05
BR-0000000018,PLT-0046,BAT-MOD-033,SENS-1194,voltage,2024-12-09T09:28:54,55.836101,V,58.95,97.70,2412,-0.264,54.909,638.690,-413.704,31.50,BAD,NORMAL,2025-12-09T14:25:05
BR-0000000019,PLT-0067,BAT-MOD-021,SENS-3936,voltage,2024-12-09T09:55:42,287.510071,V,45.67,95.29,4326,0.113,91.196,690.062,163.702,24.07,GOOD,NORMAL,2025-12-09T14:25:05
BR-0000000020,PLT-0099,BAT-MOD-047,SENS-5394,temperature,2024-12-09T09:31:54,522.966416,C,73.11,98.95,4775,0.303,8.397,628.522,481.298,29.34,GOOD,WARNING,2025-12-09T14:25:05
BR-0000000021,PLT-0060,BAT-MOD-031,SENS-7105,soh,2024-12-09T09:02:13,121.667423,%,26.12,94.08,495,-0.049,92.084,628.782,-78.722,34.07,GOOD,WARNING,2025-12-09T14:25:05
BR-0000000022,PLT-0032,BAT-MOD-023,SENS-1868,power,2024-12-09T09:28:34,348.979046,MW,46.95,89.14,863,0.253,64.159,613.694,411.599,17.88,GOOD,WARNING,2025-12-09T14:25:05
BR-0000000023,PLT-0036,BAT-MOD-038,SENS-6915,temperature,2024-12-09T09:31:39,280.101308,C,82.67,94.82,575,-0.069,3.272,652.689,-106.324,32.08,GOOD,WARNING,2025-12-09T14:25:05
BR-0000000024,PLT-0094,BAT-MOD-010,SENS-4769,voltage,2024-12-09T09:52:49,615.362040,V,89.74,98.91,1452,0.233,78.953,637.901,365.154,39.62,GOOD,NORMAL,2025-12-09T14:25:05
BR-0000000025,PLT-0027,BAT-MOD-010,SENS-1680,soc,2024-12-09T09:55:52,975.112098,%,24.71,91.55,3757,0.105,72.853,795.256,132.159,25.68,NOT_VERIFIED,CRITICAL,2025-12-09T14:25:05
BR-0000000026,PLT-0038,BAT-MOD-021,SENS-8269,voltage,2024-12-09T09:12:03,604.578243,V,23.79,94.97,2485,0.146,72.846,788.363,184.752,41.54,GOOD,NORMAL,2025-12-09T14:25:05
BR-0000000027,PLT-0080,BAT-MOD-034,SENS-5553,soc,2024-12-09T09:11:38,495.616061,%,23.67,85.46,773,-0.028,70.317,607.369,-45.740,21.21,GOOD,NORMAL,2025-12-09T14:25:05
BR-0000000028,PLT-0050,BAT-MOD-037,SENS-6977,temperature,2024-12-09T09:59:59,175.546761,C,52.41,94.83,127,-0.358,9.373,773.634,-462.583,27.18,GOOD,NORMAL,2025-12-09T14:25:05
BR-0000000029,PLT-0006,BAT-MOD-036,SENS-5410,current,2024-12-09T09:53:38,442.347797,A,70.60,86.27,3503,0.092,94.189,695.347,132.747,17.55,NOT_VERIFIED,FAULT,2025-12-09T14:25:05
BR-0000000030,PLT-0001,BAT-MOD-009,SENS-7836,temperature,2024-12-09T09:33:40,513.225656,C,75.38,93.01,1510,-0.306,85.644,642.340,-476.857,44.35,BAD,FAULT,2025-12-09T14:25:05
BR-0000000031,PLT-0018,BAT-MOD-006,SENS-2014,temperature,2024-12-09T09:58:20,746.964362,C,38.95,95.83,1670,0.042,28.269,729.692,57.361,34.22,GOOD,NORMAL,2025-12-09T14:25:05
BR-0000000032,PLT-0063,BAT-MOD-014,SENS-8149,current,2024-12-09T09:34:27,655.993305,A,74.31,91.88,250,0.303,55.789,668.488,452.919,23.49,BAD,CRITICAL,2025-12-09T14:25:05
BR-0000000033,PLT-0070,BAT-MOD-002,SENS-4825,soh,2024-12-09T09:27:56,219.803560,%,46.26,94.50,3121,-0.325,85.194,705.062,-460.383,21.60,NOT_VERIFIED,WARNING,2025-12-09T14:25:05
BR-0000000034,PLT-0066,BAT-MOD-004,SENS-6848,voltage,2024-12-09T09:14:25,455.895029,V,69.66,93.84,3341,-0.188,62.197,648.912,-288.973,19.59,SUSPECT,NORMAL,2025-12-09T14:25:05
BR-0000000035,PLT-0023,BAT-MOD-004,SENS-1724,temperature,2024-12-09T09:15:03,791.622080,C,38.15,87.50,4279,-0.271,43.224,716.355,-378.082,29.19,GOOD,WARNING,2025-12-09T14:25:05
BR-0000000036,PLT-0035,BAT-MOD-044,SENS-8784,power,2024-12-09T09:44:58,246.890862,MW,21.15,94.61,2439,0.109,92.365,638.111,170.916,22.96,GOOD,NORMAL,2025-12-09T14:25:05
BR-0000000037,PLT-0087,BAT-MOD-001,SENS-4384,voltage,2024-12-09T09:20:30,686.595601,V,46.45,88.28,1196,-0.245,88.872,634.242,-385.568,21.15,SUSPECT,CRITICAL,2025-12-09T14:25:05
BR-0000000038,PLT-0048,BAT-MOD-009,SENS-1008,voltage,2024-12-09T09:16:19,570.849426,V,27.18,88.62,2093,0.337,98.419,766.602,438.957,43.06,SUSPECT,NORMAL,2025-12-09T14:25:05
BR-0000000039,PLT-0099,BAT-MOD-012,SENS-3371,current,2024-12-09T09:49:13,391.964900,A,48.67,85.13,3397,-0.050,82.334,656.569,-76.218,38.34,NOT_VERIFIED,CRITICAL,2025-12-09T14:25:05
BR-0000000040,PLT-0048,BAT-MOD-044,SENS-5406,current,2024-12-09T09:16:17,332.261488,A,23.00,86.73,2312,0.208,48.170,635.812,326.466,17.11,GOOD,NORMAL,2025-12-09T14:25:05
BR-0000000041,PLT-0040,BAT-MOD-014,SENS-9622,temperature,2024-12-09T09:56:40,715.795661,C,39.45,88.02,1085,0.190,7.456,744.994,254.837,20.38,SUSPECT,FAULT,2025-12-09T14:25:05
BR-0000000042,PLT-0071,BAT-MOD-044,SENS-6643,current,2024-12-09T09:46:54,637.534038,A,34.04,92.68,606,0.099,15.845,799.293,124.388,25.57,GOOD,FAULT,2025-12-09T14:25:05
BR-0000000043,PLT-0031,BAT-MOD-044,SENS-1858,power,2024-12-09T09:56:50,923.122001,MW,67.86,97.54,1863,0.074,68.993,739.897,100.027,16.55,SUSPECT,CRITICAL,2025-12-09T14:25:05
BR-0000000044,PLT-0016,BAT-MOD-005,SENS-1021,soc,2024-12-09T09:14:06,505.874807,%,93.71,89.38,4373,0.236,4.090,660.274,357.447,23.43,NOT_VERIFIED,WARNING,2025-12-09T14:25:05
BR-0000000045,PLT-0034,BAT-MOD-029,SENS-4755,soh,2024-12-09T09:32:11,140.377069,%,42.55,96.99,2323,-0.030,48.677,696.483,-42.807,21.99,NOT_VERIFIED,NORMAL,2025-12-09T14:25:05
BR-0000000046,PLT-0078,BAT-MOD-008,SENS-8025,voltage,2024-12-09T09:02:44,311.734201,V,49.39,88.42,4798,-0.260,24.936,609.428,-426.735,21.25,GOOD,FAULT,2025-12-09T14:25:05
BR-0000000047,PLT-0019,BAT-MOD-013,SENS-5223,soh,2024-12-09T09:09:20,601.407539,%,36.57,89.47,1762,0.354,90.757,738.190,479.671,17.17,SUSPECT,CRITICAL,2025-12-09T14:25:05
BR-0000000048,PLT-0020,BAT-MOD-033,SENS-2848,soh,2024-12-09T09:25:35,890.014788,%,42.57,91.67,3646,0.227,66.897,767.167,296.179,39.12,GOOD,CRITICAL,2025-12-09T14:25:05
BR-0000000049,PLT-0100,BAT-MOD-042,SENS-8353,soc,2024-12-09T09:30:04,237.722777,%,38.22,85.56,864,-0.365,13.905,775.778,-470.442,21.68,GOOD,NORMAL,2025-12-09T14:25:05
BR-0000000050,PLT-0002,BAT-MOD-009,SENS-6197,voltage,2024-12-09T09:58:14,863.558020,V,33.74,96.43,3804,-0.293,19.946,748.014,-391.104,32.63,GOOD,CRITICAL,2025-12-09T14:25:05
BR-0000000051,PLT-0044,BAT-MOD-049,SENS-2607,power,2024-12-09T09:22:29,668.335534,MW,82.82,87.96,1140,-0.309,96.564,738.156,-419.168,23.11,GOOD,CRITICAL,2025-12-09T14:25:05
BR-0000000052,PLT-0066,BAT-MOD-034,SENS-8773,soh,2024-12-09T09:24:10,349.262998,%,38.62,88.33,3196,-0.347,82.232,777.153,-446.218,28.94,GOOD,FAULT,2025-12-09T14:25:05
BR-0000000053,PLT-0021,BAT-MOD-040,SENS-3556,power,2024-12-09T09:44:47,129.279462,MW,79.14,98.63,2130,0.117,22.447,606.529,193.478,16.92,GOOD,WARNING,2025-12-09T14:25:05
BR-0000000054,PLT-0091,BAT-MOD-040,SENS-8610,soh,2024-12-09T09:35:29,404.329250,%,51.86,91.17,4275,0.162,2.622,718.150,225.384,25.00,BAD,NORMAL,2025-12-09T14:25:05
BR-0000000055,PLT-0038,BAT-MOD-028,SENS-3892,voltage,2024-12-09T09:13:33,224.712104,V,68.46,85.37,1316,0.135,3.244,761.844,176.794,22.35,GOOD,NORMAL,2025-12-09T14:25:05
BR-0000000056,PLT-0078,BAT-MOD-039,SENS-5513,temperature,2024-12-09T09:24:11,580.145387,C,29.66,96.26,3377,0.173,8.573,751.257,230.565,29.00,SUSPECT,WARNING,2025-12-09T14:25:05
BR-0000000057,PLT-0020,BAT-MOD-039,SENS-4457,soh,2024-12-09T09:41:48,695.706901,%,76.35,87.97,3765,0.115,49.884,605.479,189.324,30.85,NOT_VERIFIED,WARNING,2025-12-09T14:25:05
BR-0000000058,PLT-0036,BAT-MOD-020,SENS-9155,soh,2024-12-09T09:16:18,482.037134,%,25.84,98.72,1524,-0.078,63.219,661.620,-117.839,37.33,GOOD,NORMAL,2025-12-09T14:25:05
BR-0000000059,PLT-0057,BAT-MOD-032,SENS-6760,current,2024-12-09T09:39:56,13.460045,A,83.67,89.27,1153,-0.278,1.132,716.666,-387.992,18.65,SUSPECT,NORMAL,2025-12-09T14:25:05
BR-0000000060,PLT-0007,BAT-MOD-017,SENS-1653,soh,2024-12-09T09:02:31,218.161378,%,29.98,87.86,1583,-0.079,60.009,759.438,-103.950,43.44,GOOD,WARNING,2025-12-09T14:25:05
BR-0000000061,PLT-0023,BAT-MOD-029,SENS-6964,current,2024-12-09T09:07:22,93.157965,A,46.55,96.77,3523,-0.071,15.482,789.181,-89.624,32.23,GOOD,CRITICAL,2025-12-09T14:25:05
BR-0000000062,PLT-0013,BAT-MOD-016,SENS-4741,voltage,2024-12-09T09:45:22,85.736409,V,74.09,99.32,1700,-0.353,62.816,716.949,-492.482,33.70,GOOD,FAULT,2025-12-09T14:25:05
BR-0000000063,PLT-0012,BAT-MOD-040,SENS-3040,soh,2024-12-09T09:08:35,97.807314,%,69.33,85.63,522,0.066,32.676,604.031,109.750,41.79,GOOD,WARNING,2025-12-09T14:25:05
BR-0000000064,PLT-0021,BAT-MOD-020,SENS-7138,soh,2024-12-09T09:36:07,746.955369,%,49.68,95.23,952,0.127,14.315,674.085,188.896,32.36,GOOD,FAULT,2025-12-09T14:25:05
BR-0000000065,PLT-0037,BAT-MOD-029,SENS-2119,temperature,2024-12-09T09:31:17,736.334125,C,22.51,96.02,3739,-0.052,86.022,710.586,-73.291,32.02,GOOD,CRITICAL,2025-12-09T14:25:05
BR-0000000066,PLT-0051,BAT-MOD-026,SENS-7512,power,2024-12-09T09:18:52,712.334382,MW,28.33,92.51,2918,-0.182,38.208,605.193,-300.489,33.33,GOOD,NORMAL,2025-12-09T14:25:05
BR-0000000067,PLT-0035,BAT-MOD-043,SENS-7525,soc,2024-12-09T09:05:18,109.170032,%,85.96,91.88,4297,0.018,33.651,686.783,25.999,23.15,GOOD,WARNING,2025-12-09T14:25:05
BR-0000000068,PLT-0024,BAT-MOD-041,SENS-1960,soc,2024-12-09T09:48:47,788.194129,%,27.42,94.42,4766,-0.322,49.163,687.415,-467.730,19.51,NOT_VERIFIED,NORMAL,2025-12-09T14:25:05
BR-0000000069,PLT-0032,BAT-MOD-019,SENS-2470,voltage,2024-12-09T09:02:37,298.655959,V,35.24,88.19,701,-0.056,96.637,769.192,-72.463,43.06,BAD,NORMAL,2025-12-09T14:25:05
BR-0000000070,PLT-0027,BAT-MOD-049,SENS-4988,power,2024-12-09T09:53:26,770.582130,MW,53.84,87.95,2361,-0.007,12.774,701.779,-10.491,43.61,BAD,FAULT,2025-12-09T14:25:05
BR-0000000071,PLT-0060,BAT-MOD-018,SENS-5142,power,2024-12-09T09:43:19,650.756732,MW,35.78,93.43,2551,-0.326,31.961,703.549,-462.781,18.81,NOT_VERIFIED,FAULT,2025-12-09T14:25:05
BR-0000000072,PLT-0056,BAT-MOD-046,SENS-7110,voltage,2024-12-09T09:27:37,673.023332,V,91.49,93.48,3940,0.028,88.763,630.130,44.316,37.51,GOOD,CRITICAL,2025-12-09T14:25:05
BR-0000000073,PLT-0073,BAT-MOD-032,SENS-5972,power,2024-12-09T09:44:47,70.083382,MW,69.65,98.03,3487,-0.114,17.106,749.236,-152.431,35.15,NOT_VERIFIED,CRITICAL,2025-12-09T14:25:05
BR-0000000074,PLT-0064,BAT-MOD-031,SENS-1332,voltage,2024-12-09T09:37:51,233.306129,V,44.33,87.22,2950,0.347,24.314,697.163,498.123,26.89,NOT_VERIFIED,FAULT,2025-12-09T14:25:05
BR-0000000075,PLT-0094,BAT-MOD-024,SENS-8531,current,2024-12-09T09:46:49,32.106005,A,47.65,97.96,2144,0.141,41.856,646.853,218.687,32.63,SUSPECT,CRITICAL,2025-12-09T14:25:05
BR-0000000076,PLT-0094,BAT-MOD-012,SENS-6059,soc,2024-12-09T09:46:36,31.576189,%,58.26,99.60,4399,-0.262,54.207,619.643,-423.068,18.47,NOT_VERIFIED,CRITICAL,2025-12-09T14:25:05
BR-0000000077,PLT-0029,BAT-MOD-006,SENS-2950,soc,2024-12-09T09:34:56,262.241049,%,32.93,90.04,1188,0.319,70.038,750.406,425.149,32.63,NOT_VERIFIED,FAULT,2025-12-09T14:25:05
BR-0000000078,PLT-0032,BAT-MOD-021,SENS-5187,voltage,2024-12-09T09:09:12,481.514875,V,30.79,97.11,2135,0.015,3.231,683.854,22.632,15.34,GOOD,NORMAL,2025-12-09T14:25:05
BR-0000000079,PLT-0069,BAT-MOD-003,SENS-3680,soh,2024-12-09T09:21:45,857.256850,%,31.06,92.56,4702,0.039,30.729,623.108,62.161,27.49,GOOD,CRITICAL,2025-12-09T14:25:05
BR-0000000080,PLT-0099,BAT-MOD-048,SENS-6581,temperature,2024-12-09T09:15:34,985.231148,C,47.07,95.79,435,-0.044,57.860,633.740,-69.118,33.88,GOOD,NORMAL,2025-12-09T14:25:05
BR-0000000081,PLT-0059,BAT-MOD-017,SENS-2140,soh,2024-12-09T09:24:36,395.139349,%,93.52,97.26,4415,-0.238,24.780,703.308,-338.127,15.31,GOOD,FAULT,2025-12-09T14:25:05
BR-0000000082,PLT-0054,BAT-MOD-006,SENS-8246,voltage,2024-12-09T09:21:41,592.584591,V,88.63,96.78,1826,-0.143,77.877,647.507,-221.449,15.87,GOOD,NORMAL,2025-12-09T14:25:05
BR-0000000083,PLT-0075,BAT-MOD-003,SENS-7794,temperature,2024-12-09T09:02:53,864.311945,C,59.04,87.47,4463,0.028,73.596,773.779,35.681,29.66,NOT_VERIFIED,NORMAL,2025-12-09T14:25:05
BR-0000000084,PLT-0079,BAT-MOD-031,SENS-4518,voltage,2024-12-09T09:59:02,196.425503,V,67.24,86.39,3637,-0.075,45.777,724.224,-103.242,34.73,GOOD,WARNING,2025-12-09T14:25:05
BR-0000000085,PLT-0093,BAT-MOD-035,SENS-5269,power,2024-12-09T09:47:55,206.085637,MW,22.43,90.82,685,0.315,87.733,666.265,472.859,26.43,GOOD,FAULT,2025-12-09T14:25:05
BR-0000000086,PLT-0029,BAT-MOD-002,SENS-2805,soh,2024-12-09T09:51:13,777.562484,%,70.19,96.20,4486,0.242,48.748,601.909,402.804,42.91,NOT_VERIFIED,FAULT,2025-12-09T14:25:05
BR-0000000087,PLT-0001,BAT-MOD-016,SENS-5806,current,2024-12-09T09:17:16,527.122045,A,78.47,89.63,3461,-0.146,10.749,785.363,-185.439,26.04,NOT_VERIFIED,NORMAL,2025-12-09T14:25:05
BR-0000000088,PLT-0067,BAT-MOD-032,SENS-9303,current,2024-12-09T09:28:42,533.402847,A,80.27,93.61,3738,-0.316,35.671,660.960,-478.148,31.51,GOOD,NORMAL,2025-12-09T14:25:05
BR-0000000089,PLT-0094,BAT-MOD-007,SENS-5074,soh,2024-12-09T09:12:08,457.143303,%,27.25,85.51,1472,0.234,42.858,678.751,344.199,42.40,GOOD,FAULT,2025-12-09T14:25:05
BR-0000000090,PLT-0003,BAT-MOD-009,SENS-6620,soh,2024-12-09T09:15:18,431.928762,%,33.25,93.58,1487,0.350,30.862,725.815,482.479,18.18,SUSPECT,WARNING,2025-12-09T14:25:05
BR-0000000091,PLT-0044,BAT-MOD-034,SENS-4317,current,2024-12-09T09:26:04,368.668258,A,39.85,93.52,2050,-0.280,4.534,640.116,-437.384,19.50,BAD,WARNING,2025-12-09T14:25:05
BR-0000000092,PLT-0025,BAT-MOD-048,SENS-6823,power,2024-12-09T09:34:06,720.038611,MW,61.43,99.93,3407,0.096,50.110,708.584,135.877,38.13,GOOD,CRITICAL,2025-12-09T14:25:05
BR-0000000093,PLT-0050,BAT-MOD-036,SENS-8403,power,2024-12-09T09:42:59,834.707130,MW,28.02,98.12,3556,0.132,95.400,673.806,196.428,25.45,SUSPECT,FAULT,2025-12-09T14:25:05
BR-0000000094,PLT-0031,BAT-MOD-016,SENS-8419,power,2024-12-09T09:31:59,931.899151,MW,56.73,93.07,3751,-0.265,86.164,738.259,-359.361,38.40,GOOD,NORMAL,2025-12-09T14:25:05
BR-0000000095,PLT-0050,BAT-MOD-025,SENS-1092,voltage,2024-12-09T09:11:41,91.888174,V,72.55,88.06,4306,0.036,10.887,769.123,47.273,40.02,NOT_VERIFIED,NORMAL,2025-12-09T14:25:05
BR-0000000096,PLT-0058,BAT-MOD-001,SENS-2219,voltage,2024-12-09T09:06:56,782.617212,V,33.89,86.31,3686,-0.133,24.567,741.645,-179.417,31.21,SUSPECT,CRITICAL,2025-12-09T14:25:05
BR-0000000097,PLT-0003,BAT-MOD-049,SENS-2526,current,2024-12-09T09:10:42,556.862554,A,22.93,87.37,660,-0.326,2.226,654.423,-498.073,42.07,GOOD,NORMAL,2025-12-09T14:25:05
BR-0000000098,PLT-0087,BAT-MOD-001,SENS-8241,soh,2024-12-09T09:12:33,333.330224,%,33.99,97.24,967,0.038,66.612,783.403,48.407,34.48,NOT_VERIFIED,NORMAL,2025-12-09T14:25:05
BR-0000000099,PLT-0048,BAT-MOD-028,SENS-1355,voltage,2024-12-09T09:28:55,755.585456,V,58.78,87.78,4070,0.133,37.210,746.634,178.021,40.27,SUSPECT,CRITICAL,2025-12-09T14:25:05
BR-0000000100,PLT-0089,BAT-MOD-046,SENS-3727,current,2024-12-09T09:22:33,226.474161,A,74.71,98.74,3861,0.232,44.572,663.842,349.209,22.27,BAD,CRITICAL,2025-12-09T14:25:05
BR-0000000101,PLT-0054,BAT-MOD-005,SENS-9144,soc,2024-12-09T09:47:15,665.959773,%,56.17,87.22,2169,0.192,73.123,684.406,281.031,16.03,GOOD,WARNING,2025-12-09T14:25:05
BR-0000000102,PLT-0065,BAT-MOD-046,SENS-7630,soh,2024-12-09T09:53:10,596.359982,%,22.36,88.47,2186,0.163,31.797,798.337,204.451,16.92,SUSPECT,NORMAL,2025-12-09T14:25:05
BR-0000000103,PLT-0097,BAT-MOD-042,SENS-3502,voltage,2024-12-09T09:54:01,645.008791,V,82.39,99.11,4792,-0.186,90.929,625.514,-296.610,31.11,GOOD,NORMAL,2025-12-09T14:25:05
BR-0000000104,PLT-0016,BAT-MOD-014,SENS-1028,soh,2024-12-09T09:49:17,566.973037,%,86.76,88.48,1849,0.223,87.026,702.607,317.239,43.97,GOOD,CRITICAL,2025-12-09T14:25:05
BR-0000000105,PLT-0026,BAT-MOD-033,SENS-7807,temperature,2024-12-09T09:59:15,427.702959,C,73.52,99.75,3936,0.308,85.588,740.288,416.009,16.42,BAD,NORMAL,2025-12-09T14:25:05
BR-0000000106,PLT-0041,BAT-MOD-027,SENS-2544,soc,2024-12-09T09:11:58,942.654382,%,88.79,89.62,2870,-0.191,74.059,689.870,-277.491,33.93,GOOD,CRITICAL,2025-12-09T14:25:05
BR-0000000107,PLT-0038,BAT-MOD-033,SENS-4455,temperature,2024-12-09T09:27:23,168.979402,C,49.30,88.37,1972,-0.317,9.686,753.010,-420.348,42.92,GOOD,CRITICAL,2025-12-09T14:25:05
BR-0000000108,PLT-0094,BAT-MOD-030,SENS-6628,soh,2024-12-09T09:41:18,444.131570,%,69.59,94.36,2711,-0.164,27.374,685.107,-238.713,36.27,GOOD,FAULT,2025-12-09T14:25:05
BR-0000000109,PLT-0081,BAT-MOD-031,SENS-9022,current,2024-12-09T09:37:26,260.234178,A,59.44,92.08,4083,-0.135,48.908,759.597,-178.038,25.04,BAD,NORMAL,2025-12-09T14:25:05
BR-0000000110,PLT-0056,BAT-MOD-043,SENS-9435,power,2024-12-09T09:14:08,581.932352,MW,90.68,91.43,1298,0.058,30.387,648.852,89.974,28.05,BAD,NORMAL,2025-12-09T14:25:05
BR-0000000111,PLT-0062,BAT-MOD-020,SENS-6039,voltage,2024-12-09T09:29:00,452.196961,V,30.81,95.76,3549,-0.096,79.177,647.589,-147.752,18.96,GOOD,NORMAL,2025-12-09T14:25:05
BR-0000000112,PLT-0084,BAT-MOD-023,SENS-6830,soh,2024-12-09T09:15:17,550.022027,%,30.52,85.11,4903,-0.022,24.518,647.051,-34.208,32.36,BAD,CRITICAL,2025-12-09T14:25:05
BR-0000000113,PLT-0078,BAT-MOD-015,SENS-4107,voltage,2024-12-09T09:06:08,7.433104,V,35.88,88.46,4240,0.330,76.603,662.103,498.205,42.53,GOOD,FAULT,2025-12-09T14:25:05
BR-0000000114,PLT-0099,BAT-MOD-035,SENS-5790,temperature,2024-12-09T09:04:13,735.988755,C,46.85,98.89,1775,0.287,88.340,661.379,433.609,19.10,GOOD,WARNING,2025-12-09T14:25:05
BR-0000000115,PLT-0089,BAT-MOD-002,SENS-1482,voltage,2024-12-09T09:12:18,366.943917,V,84.20,91.92,2358,0.032,74.431,699.753,45.531,23.98,SUSPECT,FAULT,2025-12-09T14:25:05
BR-0000000116,PLT-0068,BAT-MOD-010,SENS-4084,voltage,2024-12-09T09:46:45,401.032290,V,25.84,96.07,3561,-0.214,66.568,799.960,-267.319,31.04,GOOD,NORMAL,2025-12-09T14:25:05
BR-0000000117,PLT-0002,BAT-MOD-008,SENS-5255,voltage,2024-12-09T09:11:04,767.787813,V,67.51,88.11,3940,0.093,64.593,686.789,135.123,18.62,GOOD,NORMAL,2025-12-09T14:25:05
BR-0000000118,PLT-0003,BAT-MOD-008,SENS-6836,soh,2024-12-09T09:28:04,233.205112,%,51.34,86.84,4597,-0.285,39.135,722.600,-393.762,20.24,BAD,NORMAL,2025-12-09T14:25:05
BR-0000000119,PLT-0029,BAT-MOD-037,SENS-4277,soc,2024-12-09T09:01:45,428.817568,%,70.23,89.08,3863,0.020,80.975,613.410,33.016,39.00,GOOD,NORMAL,2025-12-09T14:25:05
BR-0000000120,PLT-0051,BAT-MOD-046,SENS-6927,power,2024-12-09T09:56:23,796.194092,MW,50.01,94.59,4695,0.284,13.358,765.438,370.426,17.26,GOOD,FAULT,2025-12-09T14:25:05
BR-0000000121,PLT-0083,BAT-MOD-041,SENS-4726,soh,2024-12-09T09:30:01,705.143301,%,64.77,92.79,3589,0.134,99.538,796.674,167.770,31.81,GOOD,FAULT,2025-12-09T14:25:05
BR-0000000122,PLT-0094,BAT-MOD-028,SENS-1564,voltage,2024-12-09T09:30:30,856.921333,V,60.11,89.63,3002,-0.073,8.022,652.733,-111.981,16.59,GOOD,NORMAL,2025-12-09T14:25:05
