reading_id,plant_id,component_id,sensor_id,sensor_type,timestamp,value,unit_of_measure,irradiance_wm2,panel_temperature_c,ambient_temperature_c,power_mw,energy_mwh,dc_voltage_v,dc_current_a,ac_voltage_v,ac_current_a,inverter_efficiency_pct,performance_ratio,tracker_angle_degrees,quality_flag,alarm_status,ingestion_datetime
SR-0000000012,PLT-0005,INV-040,SENS-4459,irradiance,2024-12-09T09:55:15,209.324734,W/m2,663.83,42.39,15.52,0.267,35.150,803.496,349.285,647.345,388.346,97.96,0.7890,-21.95,BAD,NORMAL,2025-12-09T14:25:05
SR-0000000013,PLT-0057,INV-041,SENS-7064,voltage,2024-12-09T09:42:57,945.138469,V,741.92,39.94,22.76,0.183,47.765,829.928,231.526,599.733,196.655,96.31,0.7587,-25.01,GOOD,CRITICAL,2025-12-09T14:25:05
SR-0000000014,PLT-0060,INV-035,SENS-7471,temperature,2024-12-09T09:46:51,320.850750,C,886.46,34.27,20.94,0.184,33.604,779.799,248.587,499.327,282.866,95.91,0.7625,40.93,GOOD,WARNING,2025-12-09T14:25:05
SR-0000000015,PLT-0038,INV-013,SENS-6528,voltage,2024-12-09T09:20:51,845.769753,V,947.92,48.97,29.27,0.257,36.667,958.891,282.513,523.363,373.631,96.41,0.8210,39.00,GOOD,WARNING,2025-12-09T14:25:05
SR-0000000016,PLT-0100,INV-031,SENS-7595,irradiance,2024-12-09T09:36:05,347.783964,W/m2,627.71,38.31,23.65,0.176,20.110,836.462,221.212,545.721,225.040,96.82,0.7933,-34.86,GOOD,NORMAL,2025-12-09T14:25:05
SR-0000000017,PLT-0049,INV-019,SENS-2329,current,2024-12-09T09:55:34,825.341008,A,827.68,34.59,28.87,0.335,16.347,830.664,423.900,640.323,148.332,95.37,0.8425,-17.56,GOOD,NORMAL,2025-12-09T14:25:05
SR-0000000018,PLT-0094,INV-005,SENS-6729,current,2024-12-09T09:15:19,463.714767,A,954.58,25.86,23.46,0.242,22.540,763.222,334.001,647.435,143.665,95.48,0.7757,13.65,SUSPECT,FAULT,2025-12-09T14:25:05
SR-0000000019,PLT-0024,INV-001,SENS-9172,voltage,2024-12-09T09:13:38,548.085681,V,681.57,33.48,20.53,0.232,48.504,821.359,296.720,658.574,389.894,94.58,0.8000,-20.39,SUSPECT,NORMAL,2025-12-09T14:25:05
SR-0000000020,PLT-0037,INV-032,SENS-2735,power,2024-12-09T09:22:57,329.327770,MW,902.41,29.36,15.73,0.393,11.927,959.463,431.574,580.246,240.467,94.67,0.7628,-27.92,GOOD,NORMAL,2025-12-09T14:25:05
SR-0000000021,PLT-0079,INV-032,SENS-9477,voltage,2024-12-09T09:44:31,335.424563,V,638.98,29.40,27.87,0.315,21.650,837.631,395.403,597.349,333.144,96.04,0.8290,33.50,GOOD,FAULT,2025-12-09T14:25:05
SR-0000000022,PLT-0002,INV-007,SENS-5909,tracking_angle,2024-12-09T09:42:54,986.328209,degrees,682.76,34.18,28.57,0.144,49.482,837.058,180.830,532.604,246.242,94.59,0.8041,23.89,GOOD,NORMAL,2025-12-09T14:25:05
SR-0000000023,PLT-0050,INV-038,SENS-2260,temperature,2024-12-09T09:10:53,438.719027,C,942.82,38.30,26.95,0.367,7.436,829.692,465.748,508.285,122.708,96.35,0.7969,37.87,BAD,NORMAL,2025-12-09T14:25:05
SR-0000000024,PLT-0014,INV-030,SENS-9730,irradiance,2024-12-09T09:24:45,450.100014,W/m2,923.23,34.58,28.70,0.245,22.402,903.979,285.697,606.360,188.889,97.56,0.7745,30.07,GOOD,WARNING,2025-12-09T14:25:05
SR-0000000025,PLT-0095,INV-026,SENS-8291,tracking_angle,2024-12-09T09:11:57,523.417389,degrees,825.64,49.53,27.48,0.164,18.061,935.471,184.652,647.553,361.525,97.87,0.7548,15.84,SUSPECT,NORMAL,2025-12-09T14:25:05
SR-0000000026,PLT-0067,INV-011,SENS-4481,tracking_angle,2024-12-09T09:13:23,493.027246,degrees,898.27,27.18,22.82,0.137,17.134,824.450,175.515,521.323,147.462,94.54,0.7600,-26.62,GOOD,NORMAL,2025-12-09T14:25:05
SR-0000000027,PLT-0045,INV-044,SENS-3845,temperature,2024-12-09T09:53:38,33.266808,C,974.91,28.70,22.86,0.328,38.639,977.384,353.156,662.003,202.483,95.33,0.7913,17.87,SUSPECT,NORMAL,2025-12-09T14:25:05
SR-0000000028,PLT-0072,INV-043,SENS-2001,irradiance,2024-12-09T09:13:14,956.824762,W/m2,728.26,52.29,26.59,0.290,11.415,652.673,468.071,689.724,207.565,94.73,0.7587,-34.44,GOOD,FAULT,2025-12-09T14:25:05
SR-0000000029,PLT-0022,INV-043,SENS-2541,tracking_angle,2024-12-09T09:13:46,369.989982,degrees,880.11,33.87,22.76,0.317,48.942,701.690,475.506,564.554,119.045,94.07,0.8269,-19.40,GOOD,FAULT,2025-12-09T14:25:05
SR-0000000030,PLT-0010,INV-026,SENS-9100,power,2024-12-09T09:08:56,838.003200,MW,880.74,40.76,21.99,0.130,12.200,885.931,153.995,646.956,270.965,95.47,0.8108,5.84,GOOD,CRITICAL,2025-12-09T14:25:05
SR-0000000031,PLT-0011,INV-017,SENS-6525,irradiance,2024-12-09T09:41:00,639.035794,W/m2,961.93,36.05,28.55,0.105,9.286,931.016,119.113,546.432,214.897,97.50,0.7860,24.18,GOOD,NORMAL,2025-12-09T14:25:05
SR-0000000032,PLT-0081,INV-028,SENS-2669,tracking_angle,2024-12-09T09:52:53,103.028259,degrees,655.68,40.27,16.22,0.210,35.378,781.243,282.501,548.113,102.781,95.87,0.7641,27.52,NOT_VERIFIED,WARNING,2025-12-09T14:25:05
SR-0000000033,PLT-0082,INV-021,SENS-9193,temperature,2024-12-09T09:20:43,562.858077,C,829.58,32.71,16.14,0.262,41.882,784.683,352.130,581.234,370.687,95.66,0.8271,-39.46,GOOD,NORMAL,2025-12-09T14:25:05
SR-0000000034,PLT-0015,INV-006,SENS-5962,power,2024-12-09T09:19:27,900.948160,MW,704.86,28.84,22.17,0.148,18.498,816.950,190.576,492.243,286.440,96.05,0.7777,-12.56,GOOD,WARNING,2025-12-09T14:25:05
SR-0000000035,PLT-0026,INV-010,SENS-5545,current,2024-12-09T09:57:18,372.965388,A,677.09,37.46,27.84,0.280,41.075,648.700,454.107,675.844,147.420,96.06,0.7631,-20.52,SUSPECT,WARNING,2025-12-09T14:25:05
SR-0000000036,PLT-0003,INV-032,SENS-4173,temperature,2024-12-09T09:03:23,769.879056,C,620.66,44.23,27.73,0.305,46.863,744.291,431.949,586.652,228.864,97.11,0.8092,8.92,GOOD,FAULT,2025-12-09T14:25:05
SR-0000000037,PLT-0064,INV-026,SENS-8976,temperature,2024-12-09T09:24:44,977.755075,C,632.41,44.27,16.16,0.150,2.618,652.999,241.073,535.670,351.622,95.32,0.7895,-18.54,NOT_VERIFIED,NORMAL,2025-12-09T14:25:05
SR-0000000038,PLT-0007,INV-034,SENS-8175,current,2024-12-09T09:22:51,627.989740,A,615.86,34.55,19.15,0.261,26.398,602.370,455.941,503.515,222.408,97.22,0.7806,-30.69,NOT_VERIFIED,NORMAL,2025-12-09T14:25:05
SR-0000000039,PLT-0008,INV-013,SENS-2719,irradiance,2024-12-09T09:44:30,614.548219,W/m2,718.99,35.64,21.49,0.263,16.993,795.042,347.855,660.260,318.968,95.47,0.7845,12.48,SUSPECT,WARNING,2025-12-09T14:25:05
SR-0000000040,PLT-0018,INV-005,SENS-3600,power,2024-12-09T09:30:27,156.420550,MW,860.25,44.73,26.12,0.206,7.023,651.192,333.019,610.563,165.723,97.84,0.8331,-34.80,BAD,CRITICAL,2025-12-09T14:25:05
SR-0000000041,PLT-0076,INV-028,SENS-1596,power,2024-12-09T09:36:24,487.683631,MW,758.17,50.04,20.37,0.308,13.253,968.377,334.869,648.440,186.304,95.95,0.8450,29.31,GOOD,CRITICAL,2025-12-09T14:25:05
SR-0000000042,PLT-0037,INV-029,SENS-6437,voltage,2024-12-09T09:01:50,101.775578,V,993.61,27.79,19.31,0.229,21.753,745.946,323.676,602.778,349.726,97.57,0.7811,29.65,NOT_VERIFIED,NORMAL,2025-12-09T14:25:05
SR-0000000043,PLT-0056,INV-027,SENS-3663,voltage,2024-12-09T09:52:52,200.851213,V,697.17,35.87,25.32,0.143,9.099,750.856,201.115,584.626,253.262,97.98,0.8034,19.68,GOOD,CRITICAL,2025-12-09T14:25:05
SR-0000000044,PLT-0080,INV-035,SENS-4988,temperature,2024-12-09T09:04:02,270.618484,C,878.38,37.34,24.83,0.262,6.103,790.521,348.496,615.889,244.904,95.52,0.7664,-3.93,GOOD,WARNING,2025-12-09T14:25:05
SR-0000000045,PLT-0004,INV-030,SENS-5863,irradiance,2024-12-09T09:52:32,339.746456,W/m2,993.45,28.58,28.07,0.179,20.615,660.256,284.821,612.560,134.201,97.75,0.7658,12.37,SUSPECT,NORMAL,2025-12-09T14:25:05
SR-0000000046,PLT-0004,INV-050,SENS-1537,voltage,2024-12-09T09:49:17,549.983040,V,977.53,36.60,15.49,0.174,45.483,641.623,285.456,585.513,116.019,97.58,0.8212,-12.61,NOT_VERIFIED,FAULT,2025-12-09T14:25:05
SR-0000000047,PLT-0061,INV-021,SENS-1609,irradiance,2024-12-09T09:57:23,628.471557,W/m2,844.38,49.25,17.44,0.304,2.458,680.112,470.403,546.786,388.090,95.99,0.7508,2.66,GOOD,FAULT,2025-12-09T14:25:05
SR-0000000048,PLT-0081,INV-009,SENS-1882,power,2024-12-09T09:54:31,332.835502,MW,920.02,29.77,21.98,0.121,29.960,729.960,174.405,535.119,199.466,95.60,0.8369,10.65,GOOD,CRITICAL,2025-12-09T14:25:05
SR-0000000049,PLT-0007,INV-041,SENS-8414,tracking_angle,2024-12-09T09:47:02,726.816552,degrees,701.15,33.98,18.69,0.345,6.449,917.246,396.340,609.282,292.299,97.10,0.8294,19.12,GOOD,WARNING,2025-12-09T14:25:05
SR-0000000050,PLT-0073,INV-017,SENS-4097,power,2024-12-09T09:38:25,301.738398,MW,641.19,39.37,16.36,0.228,15.913,708.434,338.339,589.401,351.179,97.64,0.8122,34.68,SUSPECT,NORMAL,2025-12-09T14:25:05
SR-0000000051,PLT-0034,INV-034,SENS-6301,tracking_angle,2024-12-09T09:20:19,24.391131,degrees,829.56,33.19,20.88,0.251,37.795,776.401,339.658,615.469,231.367,97.85,0.8248,4.05,GOOD,FAULT,2025-12-09T14:25:05
SR-0000000052,PLT-0001,INV-044,SENS-4974,power,2024-12-09T09:54:37,866.132964,MW,837.51,43.54,27.79,0.269,3.986,926.022,305.768,667.433,368.850,94.65,0.8106,23.83,GOOD,WARNING,2025-12-09T14:25:05
SR-0000000053,PLT-0054,INV-027,SENS-9923,temperature,2024-12-09T09:29:32,846.521014,C,940.79,36.53,29.12,0.256,25.095,747.183,360.778,613.365,366.726,95.85,0.7776,20.40,GOOD,WARNING,2025-12-09T14:25:05
SR-0000000054,PLT-0028,INV-044,SENS-1008,irradiance,2024-12-09T09:55:04,810.156592,W/m2,826.88,26.33,26.95,0.156,33.170,850.814,192.783,484.646,248.499,94.09,0.8043,36.55,GOOD,NORMAL,2025-12-09T14:25:05
SR-0000000055,PLT-0072,INV-020,SENS-8417,temperature,2024-12-09T09:59:25,594.934097,C,743.58,37.32,19.64,0.272,27.845,864.875,331.003,604.447,116.504,94.74,0.7977,11.95,NOT_VERIFIED,FAULT,2025-12-09T14:25:05
SR-0000000056,PLT-0063,INV-011,SENS-8641,irradiance,2024-12-09T09:29:34,763.159657,W/m2,661.97,38.93,23.42,0.305,40.181,677.203,473.611,488.902,218.482,94.79,0.7881,-8.83,BAD,NORMAL,2025-12-09T14:25:05
SR-0000000057,PLT-0004,INV-038,SENS-6841,power,2024-12-09T09:10:57,874.102482,MW,993.36,39.75,17.85,0.184,18.092,758.843,255.667,555.726,295.994,97.13,0.8290,-27.06,SUSPECT,NORMAL,2025-12-09T14:25:05
SR-0000000058,PLT-0084,INV-003,SENS-1612,tracking_angle,2024-12-09T09:10:17,163.795841,degrees,797.44,51.06,26.38,0.349,12.863,887.879,414.152,606.809,264.009,97.76,0.7515,20.14,GOOD,NORMAL,2025-12-09T14:25:05
SR-0000000059,PLT-0086,INV-039,SENS-4010,temperature,2024-12-09T09:44:27,29.076759,C,604.10,29.96,19.82,0.145,18.512,732.153,209.137,541.752,380.107,97.64,0.7882,-29.86,NOT_VERIFIED,NORMAL,2025-12-09T14:25:05
SR-0000000060,PLT-0070,INV-003,SENS-3927,temperature,2024-12-09T09:01:26,717.023493,C,797.05,45.86,21.53,0.244,14.051,907.418,283.574,634.893,394.080,94.87,0.7713,25.77,BAD,NORMAL,2025-12-09T14:25:05
SR-0000000061,PLT-0039,INV-030,SENS-2882,irradiance,2024-12-09T09:23:19,863.151499,W/m2,832.39,52.60,19.96,0.085,26.891,886.837,101.022,544.694,220.370,97.36,0.8139,-7.07,GOOD,NORMAL,2025-12-09T14:25:05
SR-0000000062,PLT-0059,INV-019,SENS-9017,temperature,2024-12-09T09:38:02,911.687713,C,616.59,46.75,20.49,0.230,44.668,799.989,302.750,571.471,366.161,97.42,0.7605,-7.53,GOOD,FAULT,2025-12-09T14:25:05
SR-0000000063,PLT-0071,INV-025,SENS-9084,current,2024-12-09T09:49:05,206.676640,A,633.43,32.27,29.45,0.220,26.167,608.987,379.740,518.514,336.135,96.47,0.7544,-17.76,BAD,WARNING,2025-12-09T14:25:05
SR-0000000064,PLT-0019,INV-011,SENS-9190,voltage,2024-12-09T09:07:58,612.465255,V,736.28,51.92,26.72,0.086,38.065,730.339,123.258,624.489,193.811,97.73,0.8308,-28.87,GOOD,NORMAL,2025-12-09T14:25:05
SR-0000000065,PLT-0024,INV-024,SENS-8982,current,2024-12-09T09:01:35,894.966826,A,662.47,35.84,21.23,0.328,43.613,800.284,430.884,540.296,119.505,97.49,0.8052,-6.62,GOOD,NORMAL,2025-12-09T14:25:05
SR-0000000066,PLT-0008,INV-035,SENS-9290,power,2024-12-09T09:50:17,765.257202,MW,837.24,33.98,19.12,0.238,18.472,639.136,391.673,539.735,123.159,95.56,0.8453,-43.17,GOOD,NORMAL,2025-12-09T14:25:05
SR-0000000067,PLT-0087,INV-031,SENS-3607,power,2024-12-09T09:51:22,344.079337,MW,649.52,50.52,26.05,0.214,24.768,837.930,268.310,595.282,215.823,97.64,0.8292,-19.80,GOOD,NORMAL,2025-12-09T14:25:05
SR-0000000068,PLT-0029,INV-025,SENS-1660,current,2024-12-09T09:54:47,944.519094,A,631.61,37.73,24.48,0.160,34.906,605.820,278.361,541.334,360.839,97.95,0.8106,35.97,GOOD,NORMAL,2025-12-09T14:25:05
SR-0000000069,PLT-0067,INV-011,SENS-8102,power,2024-12-09T09:24:31,601.756694,MW,939.18,46.35,16.98,0.191,46.978,609.767,330.068,523.538,273.498,94.02,0.8446,-8.62,BAD,CRITICAL,2025-12-09T14:25:05
SR-0000000070,PLT-0042,INV-003,SENS-6203,current,2024-12-09T09:08:09,6.684581,A,792.02,42.17,23.50,0.098,39.436,739.120,139.640,491.250,151.500,95.36,0.7977,25.83,GOOD,CRITICAL,2025-12-09T14:25:05
SR-0000000071,PLT-0044,INV-046,SENS-8122,power,2024-12-09T09:49:10,361.395586,MW,776.90,46.61,15.44,0.270,44.255,963.320,295.212,554.181,319.511,96.81,0.7781,-36.68,NOT_VERIFIED,NORMAL,2025-12-09T14:25:05
SR-0000000072,PLT-0085,INV-046,SENS-1867,current,2024-12-09T09:58:22,440.516748,A,950.45,45.44,17.41,0.272,9.446,954.810,299.392,576.854,249.685,96.32,0.7542,27.94,GOOD,WARNING,2025-12-09T14:25:05
SR-0000000073,PLT-0027,INV-038,SENS-7027,irradiance,2024-12-09T09:04:43,147.283559,W/m2,706.37,34.55,25.64,0.157,25.763,742.564,223.177,483.554,231.967,96.35,0.7826,-33.48,SUSPECT,NORMAL,2025-12-09T14:25:05
SR-0000000074,PLT-0064,INV-050,SENS-5281,irradiance,2024-12-09T09:02:11,8.142949,W/m2,931.49,40.90,25.88,0.172,39.724,707.082,256.422,614.903,230.062,95.35,0.7623,-15.39,NOT_VERIFIED,NORMAL,2025-12-09T14:25:05
SR-0000000075,PLT-0029,INV-003,SENS-1180,power,2024-12-09T09:11:50,481.578919,MW,811.19,45.30,16.03,0.099,18.049,998.682,103.909,556.761,122.571,97.83,0.8486,30.31,BAD,WARNING,2025-12-09T14:25:05
SR-0000000076,PLT-0001,INV-018,SENS-3195,irradiance,2024-12-09T09:23:22,653.445792,W/m2,765.64,53.42,15.97,0.398,29.784,940.919,445.468,560.689,101.017,96.17,0.7779,-28.99,GOOD,CRITICAL,2025-12-09T14:25:05
SR-0000000077,PLT-0096,INV-020,SENS-8638,irradiance,2024-12-09T09:27:18,845.615964,W/m2,689.15,27.56,29.16,0.107,49.302,962.054,116.659,498.409,305.965,96.83,0.7873,22.86,SUSPECT,NORMAL,2025-12-09T14:25:05
SR-0000000078,PLT-0091,INV-033,SENS-1192,power,2024-12-09T09:39:16,819.032319,MW,848.37,31.22,29.09,0.369,19.168,795.138,488.053,605.277,304.305,95.85,0.8498,24.13,GOOD,CRITICAL,2025-12-09T14:25:05
SR-0000000079,PLT-0030,INV-021,SENS-7851,tracking_angle,2024-12-09T09:40:56,489.941641,degrees,983.19,38.13,17.87,0.280,13.249,839.420,350.982,666.366,125.181,97.79,0.8220,33.40,BAD,NORMAL,2025-12-09T14:25:05
SR-0000000080,PLT-0062,INV-001,SENS-9009,current,2024-12-09T09:20:30,602.651028,A,688.00,35.20,19.39,0.124,40.100,672.708,193.604,508.642,299.547,96.54,0.7505,37.87,GOOD,NORMAL,2025-12-09T14:25:05
SR-0000000081,PLT-0022,INV-044,SENS-3852,power,2024-12-09T09:36:54,718.316036,MW,677.07,37.07,19.54,0.281,41.503,682.658,433.314,524.013,253.465,97.40,0.8369,-11.88,GOOD,FAULT,2025-12-09T14:25:05
SR-0000000082,PLT-0097,INV-026,SENS-8965,voltage,2024-12-09T09:51:02,260.826206,V,812.42,30.15,15.60,0.161,2.603,629.039,270.038,639.842,104.469,94.81,0.8108,41.58,BAD,FAULT,2025-12-09T14:25:05
SR-0000000083,PLT-0002,INV-033,SENS-4617,current,2024-12-09T09:46:46,689.081756,A,669.98,37.13,25.90,0.147,29.198,649.090,238.466,539.841,268.246,96.01,0.7630,-34.79,GOOD,NORMAL,2025-12-09T14:25:05
SR-0000000084,PLT-0004,INV-036,SENS-7419,temperature,2024-12-09T09:15:58,964.541751,C,898.27,36.74,17.51,0.317,43.031,700.687,476.328,593.666,279.488,94.56,0.7712,-3.33,NOT_VERIFIED,WARNING,2025-12-09T14:25:05
SR-0000000085,PLT-0068,INV-030,SENS-9683,voltage,2024-12-09T09:04:29,301.629888,V,680.61,35.35,29.91,0.244,38.782,718.672,357.948,669.325,285.085,96.63,0.8192,-24.18,NOT_VERIFIED,WARNING,2025-12-09T14:25:05
SR-0000000086,PLT-0037,INV-034,SENS-2221,power,2024-12-09T09:36:48,486.377709,MW,855.92,28.85,29.52,0.173,43.212,964.605,188.955,560.405,192.224,95.02,0.7923,13.20,GOOD,WARNING,2025-12-09T14:25:05
SR-0000000087,PLT-0050,INV-015,SENS-3902,temperature,2024-12-09T09:47:32,161.719112,C,983.15,28.54,26.63,0.089,23.364,745.956,125.254,648.149,130.222,95.27,0.7943,-39.51,NOT_VERIFIED,FAULT,2025-12-09T14:25:05
SR-0000000088,PLT-0025,INV-018,SENS-9587,temperature,2024-12-09T09:38:00,596.831107,C,796.92,43.97,15.71,0.176,22.561,896.609,206.244,657.684,397.791,95.83,0.8292,-8.44,SUSPECT,NORMAL,2025-12-09T14:25:05
SR-0000000089,PLT-0050,INV-006,SENS-4319,voltage,2024-12-09T09:39:37,120.255316,V,916.97,29.76,23.09,0.274,39.726,740.092,390.210,634.493,275.407,94.47,0.7774,-11.89,BAD,NORMAL,2025-12-09T14:25:05
SR-0000000090,PLT-0099,INV-026,SENS-8618,irradiance,2024-12-09T09:03:44,919.154613,W/m2,861.88,40.94,23.55,0.156,47.467,618.495,265.749,597.385,190.834,97.36,0.8419,-2.50,SUSPECT,CRITICAL,2025-12-09T14:25:05
SR-0000000091,PLT-0076,INV-042,SENS-9173,power,2024-12-09T09:33:42,59.209447,MW,750.95,39.88,24.95,0.326,25.610,960.467,357.418,681.965,371.164,95.69,0.7990,40.39,NOT_VERIFIED,NORMAL,2025-12-09T14:25:05
SR-0000000092,PLT-0084,INV-021,SENS-1177,tracking_angle,2024-12-09T09:50:10,469.993767,degrees,789.82,45.45,19.09,0.166,44.707,791.007,221.024,524.209,233.916,95.76,0.8458,-34.98,GOOD,WARNING,2025-12-09T14:25:05
SR-0000000093,PLT-0015,INV-026,SENS-8084,temperature,2024-12-09T09:26:26,833.443037,C,964.90,44.59,20.68,0.199,21.878,670.179,312.907,657.361,239.537,95.69,0.7684,-10.66,SUSPECT,CRITICAL,2025-12-09T14:25:05
SR-0000000094,PLT-0063,INV-033,SENS-2309,current,2024-12-09T09:06:28,76.189045,A,729.65,45.96,18.65,0.309,31.957,694.783,467.447,633.366,355.391,97.30,0.8258,-42.20,SUSPECT,FAULT,2025-12-09T14:25:05
SR-0000000095,PLT-0003,INV-006,SENS-9751,voltage,2024-12-09T09:35:03,216.577157,V,624.56,25.44,26.76,0.143,35.036,603.691,249.964,545.817,242.947,94.78,0.7994,6.86,SUSPECT,NORMAL,2025-12-09T14:25:05
SR-0000000096,PLT-0062,INV-011,SENS-3982,power,2024-12-09T09:58:07,558.665411,MW,980.80,50.11,25.40,0.344,21.694,933.047,388.430,654.173,298.834,97.14,0.8374,-10.27,NOT_VERIFIED,NORMAL,2025-12-09T14:25:05
SR-0000000097,PLT-0061,INV-049,SENS-4331,tracking_angle,2024-12-09T09:27:11,653.454500,degrees,660.06,29.63,15.43,0.357,32.273,766.596,489.828,481.321,302.528,97.22,0.7656,-42.25,NOT_VERIFIED,NORMAL,2025-12-09T14:25:05
SR-0000000098,PLT-0088,INV-021,SENS-4869,tracking_angle,2024-12-09T09:17:19,274.356994,degrees,772.69,26.07,18.97,0.114,0.026,617.243,194.719,510.656,125.682,95.69,0.8383,-26.57,GOOD,WARNING,2025-12-09T14:25:05
SR-0000000099,PLT-0055,INV-038,SENS-2278,tracking_angle,2024-12-09T09:30:50,631.758849,degrees,877.51,29.13,22.04,0.229,16.933,801.880,301.183,626.516,357.259,94.21,0.7587,0.73,NOT_VERIFIED,CRITICAL,2025-12-09T14:25:05
SR-0000000100,PLT-0019,INV-048,SENS-6761,current,2024-12-09T09:42:20,423.416897,A,894.68,46.09,16.56,0.359,31.904,960.390,392.959,586.058,106.507,97.40,0.7504,-21.89,GOOD,CRITICAL,2025-12-09T14:25:05
SR-0000000101,PLT-0065,INV-026,SENS-5766,voltage,2024-12-09T09:18:12,600.736575,V,811.85,38.97,29.79,0.084,37.837,702.763,126.282,596.271,268.983,96.82,0.7787,39.24,GOOD,FAULT,2025-12-09T14:25:05
SR-0000000102,PLT-0074,INV-009,SENS-3250,tracking_angle,2024-12-09T09:51:17,499.234192,degrees,662.44,35.18,15.19,0.285,21.641,956.378,313.960,540.308,192.795,95.16,0.8474,19.32,GOOD,FAULT,2025-12-09T14:25:05
SR-0000000103,PLT-0080,INV-048,SENS-3207,voltage,2024-12-09T09:30:38,960.667510,V,805.87,25.93,23.59,0.102,10.649,625.813,171.447,570.282,114.255,97.38,0.7590,38.15,NOT_VERIFIED,NORMAL,2025-12-09T14:25:05
SR-0000000104,PLT-0014,INV-023,SENS-7677,voltage,2024-12-09T09:15:44,490.383559,V,950.49,40.84,24.79,0.211,38.526,712.841,311.896,580.405,228.829,94.29,0.7968,-21.10,NOT_VERIFIED,FAULT,2025-12-09T14:25:05
SR-0000000105,PLT-0007,INV-048,SENS-1569,voltage,2024-12-09T09:28:28,163.386123,V,832.32,29.73,17.85,0.301,32.162,743.558,425.838,513.172,141.078,95.03,0.7863,18.04,BAD,FAULT,2025-12-09T14:25:05
SR-0000000106,PLT-0028,INV-019,SENS-5196,tracking_angle,2024-12-09T09:12:06,303.823401,degrees,900.44,28.67,20.24,0.294,48.220,713.018,433.716,604.209,397.881,94.93,0.7758,-42.71,SUSPECT,NORMAL,2025-12-09T14:25:05
SR-0000000107,PLT-0021,INV-014,SENS-3298,temperature,2024-12-09T09:52:45,240.512947,C,959.57,31.41,20.23,0.274,32.113,976.503,295.511,645.840,122.852,95.16,0.7886,-44.44,SUSPECT,NORMAL,2025-12-09T14:25:05
SR-0000000108,PLT-0006,INV-019,SENS-3872,voltage,2024-12-09T09:19:14,126.793432,V,798.02,48.85,26.74,0.307,32.874,856.907,377.265,683.587,185.912,94.35,0.7934,37.78,GOOD,CRITICAL,2025-12-09T14:25:05
